id,log_price,property_type,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,host_has_profile_pic,host_identity_verified,number_of_reviews,review_scores_rating,bedrooms,beds
15705862,4.382026635,Apartment,2,1,Real Bed,moderate,TRUE,NYC,t,t,17,96,1,1
16904896,4.828313737,House,2,1,Real Bed,strict,TRUE,SF,t,t,138,96,1,1
4209927,3.912023005,Apartment,1,1,Real Bed,strict,TRUE,NYC,t,f,11,84,1,1
18191678,4.787491743,Apartment,4,1,Real Bed,moderate,TRUE,LA,t,f,0,,1,1
12428036,4.317488114,Apartment,8,1,Real Bed,moderate,TRUE,LA,t,t,44,92,1,7
4014942,4.997212274,Apartment,4,1.5,Real Bed,moderate,TRUE,LA,t,t,29,95,2,2
11376382,5.783825182,Apartment,2,1,Real Bed,flexible,FALSE,LA,t,t,1,80,1,1
15238989,5.521460918,Apartment,2,1,Real Bed,flexible,FALSE,NYC,t,f,0,,1,1
18004987,5.010635294,Apartment,2,1,Real Bed,moderate,TRUE,DC,t,t,1,,1,1
5117069,4.007333185,Apartment,1,1,Real Bed,flexible,FALSE,NYC,t,f,0,,1,1
16246049,3.555348061,Apartment,2,1,Real Bed,flexible,FALSE,NYC,t,f,1,,1,1
17708004,4.007333185,House,2,1,Real Bed,strict,TRUE,NYC,t,t,34,88,1,1
13435559,4.158883083,House,2,1,Real Bed,strict,FALSE,Chicago,t,t,85,96,1,1
17621139,4.753590191,Apartment,2,1,Real Bed,flexible,TRUE,NYC,t,f,0,,1,1
3530517,6.620073207,Apartment,6,2,Real Bed,flexible,TRUE,SF,t,t,18,97,3,3
13412641,4.828313737,Apartment,2,1,Real Bed,flexible,TRUE,LA,t,t,0,,1,1
17078757,4.779123493,Apartment,2,1,Real Bed,flexible,TRUE,NYC,t,t,3,100,1,1
6443678,4.744932128,Apartment,5,1,Real Bed,strict,TRUE,NYC,t,f,1,100,0,2
8926164,4.682131227,Apartment,2,1,Real Bed,strict,TRUE,NYC,t,t,31,94,1,1
17556957,4.94875989,Apartment,2,1,Real Bed,strict,TRUE,NYC,t,t,2,80,1,1
2503128,3.688879454,Apartment,2,1,Real Bed,strict,TRUE,NYC,t,f,9,100,3,1
9471893,5.857933154,House,4,1,Real Bed,strict,TRUE,LA,t,f,3,93,2,2
4274462,4.828313737,Apartment,6,1,Real Bed,strict,TRUE,Boston,t,t,5,100,2,4
1948096,4.382026635,Apartment,2,1,Real Bed,flexible,FALSE,LA,t,t,0,,1,1
11712092,6.907755279,House,9,2.5,Real Bed,flexible,FALSE,SF,t,t,0,,4,4
20918988,6.214608098,House,2,1.5,Real Bed,flexible,FALSE,DC,t,f,0,,1,1
5806687,4.700480366,Apartment,1,1,Real Bed,flexible,FALSE,NYC,t,t,0,,0,1
16474211,4.49980967,Apartment,3,1,Real Bed,moderate,TRUE,LA,t,t,1,100,1,1
15187281,5.517452896,Apartment,5,1,Real Bed,flexible,TRUE,NYC,t,f,0,,2,3
20269518,4.691347882,Apartment,3,1,Real Bed,moderate,TRUE,LA,t,t,1,100,1,1
19247305,4.779123493,Apartment,6,2,Real Bed,strict,TRUE,LA,t,t,30,89,2,2
11095719,4.49980967,Apartment,2,1,Real Bed,flexible,TRUE,LA,t,t,4,100,0,1
4285537,4.779123493,House,2,1,Real Bed,flexible,TRUE,DC,t,t,6,100,1,1
14668858,5.010635294,Apartment,2,1,Real Bed,moderate,FALSE,NYC,t,f,0,,1,1
7822736,4.605170186,Apartment,2,1,Real Bed,flexible,TRUE,LA,t,f,0,,1,1
15990686,3.80666249,Apartment,2,1,Futon,strict,TRUE,NYC,t,t,19,87,1,1
19135811,5.010635294,House,2,1,Real Bed,flexible,FALSE,LA,t,f,0,,1,1
15956956,5.164785974,Apartment,2,2,Real Bed,strict,TRUE,LA,t,t,25,100,1,1
6924942,4.700480366,Apartment,2,1,Real Bed,moderate,TRUE,NYC,t,t,6,100,2,2
6972777,3.80666249,House,1,1,Real Bed,flexible,TRUE,LA,t,t,5,80,1,1
14253838,4.382026635,Loft,2,1,Real Bed,moderate,FALSE,NYC,t,t,0,,1,1
20738762,5.247024072,Apartment,6,1,Real Bed,flexible,TRUE,NYC,t,f,0,,2,2
16221430,5.857933154,Apartment,3,1,Real Bed,flexible,TRUE,NYC,t,t,3,100,1,1
13398011,4.574710979,Loft,6,1,Real Bed,strict,TRUE,NYC,t,t,22,96,1,6
18472310,4.094344562,Apartment,2,1,Real Bed,moderate,TRUE,NYC,t,t,3,80,1,1
18524434,5.010635294,Apartment,1,1,Real Bed,flexible,FALSE,SF,t,f,1,100,1,1
19225024,4.859812404,House,4,1,Real Bed,strict,TRUE,SF,t,t,31,93,1,2
18840866,5.087596335,Apartment,7,2,Real Bed,strict,TRUE,LA,t,t,6,84,2,3
2586472,5.010635294,Apartment,2,1,Real Bed,flexible,FALSE,NYC,t,t,0,,1,1
3976798,5.560681631,House,4,2.5,Real Bed,strict,TRUE,LA,t,t,1,100,2,2
17812291,3.80666249,Apartment,1,1,Futon,strict,TRUE,NYC,t,t,4,95,1,1
1168086,4.094344562,House,3,1,Real Bed,strict,TRUE,DC,t,f,1,80,1,1
19692298,4.700480366,House,3,1,Real Bed,flexible,TRUE,Chicago,t,f,18,97,1,1
262343,4.700480366,Apartment,5,2,Real Bed,flexible,TRUE,NYC,,,0,,2,2
15734037,5.192956851,Apartment,5,1,Real Bed,flexible,TRUE,NYC,t,f,0,,1,2
5011392,4.248495242,Apartment,2,1,Real Bed,flexible,TRUE,DC,t,t,0,,1,1
4576821,4.248495242,Apartment,1,1,Real Bed,flexible,TRUE,NYC,t,t,2,100,0,1
1008814,4.605170186,House,4,1,Real Bed,moderate,TRUE,LA,t,t,15,100,1,3
7226513,4.804021045,Apartment,2,1,Real Bed,strict,TRUE,NYC,t,t,2,100,0,1
13858669,4.927253685,Loft,2,1,Real Bed,strict,TRUE,NYC,t,t,23,89,1,1
14873270,4.17438727,Apartment,2,1,Real Bed,flexible,TRUE,NYC,t,t,5,80,0,1
10132073,4.007333185,Apartment,2,1,Real Bed,strict,TRUE,LA,t,t,28,99,1,1
314248,4.828313737,Apartment,2,1,Real Bed,moderate,TRUE,SF,t,f,1,80,1,1
2165604,3.688879454,Apartment,2,1,Real Bed,moderate,TRUE,NYC,t,t,7,94,1,1
14900814,6.171700597,House,9,3,Real Bed,moderate,TRUE,LA,t,t,32,96,4,4
11593024,6.551080335,House,6,2,Real Bed,strict,TRUE,LA,t,t,18,99,3,2
17497912,4.553876892,Apartment,1,1,Real Bed,flexible,FALSE,NYC,t,f,0,,1,1
16490513,4.007333185,Apartment,2,1,Real Bed,flexible,FALSE,NYC,t,t,144,96,1,2
15282612,5.521460918,Apartment,2,1,Real Bed,flexible,TRUE,NYC,t,t,0,,1,1
235281,5.293304825,Apartment,9,2,Real Bed,strict,TRUE,Chicago,t,t,10,96,2,5
9335247,4.094344562,Apartment,2,1,Real Bed,strict,TRUE,NYC,t,t,5,85,1,1
15792652,4.17438727,Apartment,1,2,Real Bed,strict,TRUE,NYC,t,t,0,,1,1
4666794,3.80666249,Apartment,2,1,Real Bed,moderate,TRUE,LA,t,f,0,,0,1
20632389,4.976733742,Apartment,3,1,Real Bed,strict,TRUE,SF,t,t,16,94,1,1
20979364,3.912023005,House,1,1,Real Bed,strict,TRUE,DC,t,t,3,100,1,1
4588783,4.17438727,Apartment,2,1,Real Bed,strict,FALSE,NYC,,,7,94,1,2
8336708,4.060443011,House,2,1,Real Bed,flexible,FALSE,LA,t,f,1,100,1,1
16802965,4.905274778,Apartment,2,1,Real Bed,strict,TRUE,NYC,t,t,38,88,1,1
14228669,4.65396035,Apartment,2,1,Real Bed,flexible,FALSE,NYC,t,f,14,89,1,2
7316104,4.48863637,Apartment,1,1,Real Bed,strict,TRUE,NYC,t,f,7,93,1,1
25827,5.634789603,House,8,2,Real Bed,flexible,TRUE,LA,t,f,3,90,3,3
7827907,5.783825182,House,4,2,Real Bed,flexible,TRUE,SF,t,t,9,100,2,2
13900931,6.109247583,Apartment,2,1,Real Bed,flexible,FALSE,DC,t,f,0,,0,1
12068,4.317488114,Apartment,4,1,Real Bed,strict,FALSE,NYC,t,t,105,89,1,2
9994860,5.937536205,House,10,2,Real Bed,strict,TRUE,LA,t,f,59,96,3,4
13510326,4.094344562,Apartment,6,1,Real Bed,flexible,FALSE,NYC,t,t,1,100,2,3
17520883,4.382026635,Apartment,2,1,Real Bed,moderate,TRUE,NYC,t,t,67,99,1,1
2618997,4.86753445,Apartment,3,1,Real Bed,moderate,FALSE,DC,t,t,3,93,1,1
8813451,5.068904202,House,3,1,Real Bed,moderate,TRUE,LA,t,f,10,98,2,2
8781837,4.127134385,Apartment,2,1,Real Bed,flexible,TRUE,NYC,t,f,16,96,0,1
14641006,5.298317367,House,7,1,Real Bed,strict,TRUE,LA,t,t,3,100,2,2
1742144,4.465908119,Apartment,2,1,Real Bed,strict,TRUE,NYC,t,t,13,94,1,1
2278299,4.094344562,House,2,1,Real Bed,flexible,FALSE,Boston,t,f,0,,1,1
16253186,4.96284463,Apartment,2,1,Real Bed,flexible,FALSE,Boston,t,f,2,80,1,1
13615270,5.598421959,Apartment,6,1.5,Real Bed,moderate,FALSE,SF,t,f,1,100,1,3
11797378,4.382026635,Townhouse,3,1,Real Bed,strict,FALSE,LA,t,t,73,98,1,1
1089240,3.871201011,House,3,1,Real Bed,strict,TRUE,NYC,t,f,18,100,1,2
11461331,3.496507561,House,1,1,Real Bed,flexible,TRUE,NYC,t,f,9,80,1,1
16186033,3.401197382,House,1,1,Real Bed,flexible,FALSE,LA,t,f,0,,1,1
6555586,5.616771098,Apartment,4,2,Real Bed,strict,TRUE,LA,t,t,23,90,2,4
6599827,4.700480366,Apartment,3,1,Real Bed,flexible,FALSE,NYC,t,f,4,70,2,1
9057393,4.934473933,Apartment,3,1,Real Bed,moderate,TRUE,NYC,t,t,15,99,1,1
20997664,4.828313737,House,4,1,Real Bed,moderate,TRUE,LA,t,t,18,90,2,2
14555269,4.605170186,Apartment,2,1,Real Bed,strict,TRUE,NYC,t,t,21,86,1,1
18649822,3.891820298,Apartment,2,1,Real Bed,flexible,TRUE,NYC,t,t,0,,1,1
498052,7.150701458,Apartment,2,1,Real Bed,flexible,FALSE,NYC,t,f,0,,1,1
17860272,6.745236349,Apartment,2,2,Real Bed,strict,FALSE,NYC,f,f,5,100,1,1
14916417,4.007333185,Apartment,1,1,Real Bed,flexible,FALSE,Boston,t,f,1,100,1,1
10574818,4.343805422,Apartment,2,1,Real Bed,flexible,FALSE,NYC,t,f,0,,1,1
18434133,3.555348061,Apartment,2,1,Real Bed,flexible,TRUE,NYC,t,t,10,98,1,1
20199218,6.214608098,Apartment,7,2.5,Real Bed,strict,TRUE,LA,t,t,10,98,3,4
2050565,6.527957918,Apartment,4,2,Real Bed,strict,TRUE,NYC,t,t,3,100,3,3
10575738,4.828313737,Apartment,2,1,Real Bed,strict,TRUE,NYC,t,t,0,,1,1
6438568,5.010635294,Apartment,4,1,Real Bed,strict,TRUE,NYC,t,f,25,94,2,3
1411264,4.248495242,Apartment,2,1,Real Bed,strict,TRUE,DC,t,t,8,93,1,1
51073,4.605170186,Apartment,4,1,Real Bed,flexible,TRUE,LA,t,f,2,60,1,2
14568366,5.541263545,Apartment,2,1,Real Bed,moderate,TRUE,NYC,t,t,2,100,1,1
8442997,4.605170186,House,4,1,Real Bed,flexible,TRUE,Boston,t,t,61,99,2,2
783533,5.081404365,Apartment,2,1,Real Bed,moderate,FALSE,Chicago,t,t,4,100,1,1
6886174,4.49980967,Apartment,2,1,Real Bed,moderate,TRUE,SF,t,t,87,88,0,1
2604409,2.944438979,House,1,1,Real Bed,strict,TRUE,NYC,t,f,3,100,1,1
12208881,4.394449155,Apartment,1,1,Real Bed,strict,TRUE,NYC,t,t,2,70,1,1
10638806,4.8978398,Apartment,2,1,Real Bed,strict,TRUE,NYC,t,t,206,91,1,1
10839763,5.480638923,House,6,2,Real Bed,moderate,TRUE,LA,t,t,26,100,2,3
20409623,4.219507705,Apartment,2,1,Real Bed,strict,TRUE,LA,t,f,8,100,0,1
17703855,4.442651256,Apartment,2,1,Real Bed,flexible,FALSE,SF,t,t,0,,1,1
10228764,4.317488114,House,2,1,Real Bed,strict,TRUE,LA,t,t,43,97,1,1
6717232,4.317488114,Apartment,2,1,Real Bed,strict,TRUE,NYC,t,t,73,95,1,1
19729961,5.697093487,Townhouse,7,1.5,Real Bed,moderate,TRUE,NYC,t,f,0,,3,5
4098271,4.356708827,Apartment,2,1,Real Bed,moderate,FALSE,NYC,t,t,44,94,0,2
3630424,4.317488114,Apartment,2,1,Real Bed,flexible,TRUE,NYC,t,f,0,,1,1
17575812,4.976733742,Loft,4,1,Real Bed,strict,TRUE,LA,t,t,104,98,0,2
11588543,5.010635294,Apartment,5,1,Real Bed,strict,TRUE,NYC,t,f,22,95,3,3
19211691,4.941642423,Loft,3,1,Real Bed,strict,TRUE,NYC,t,t,3,100,1,1
18058045,5.517452896,Apartment,6,1,Real Bed,moderate,TRUE,NYC,,,6,93,2,4
3238142,5.857933154,Apartment,2,1,Real Bed,flexible,TRUE,NYC,t,t,0,,0,1
11257690,4.700480366,Apartment,3,1,Real Bed,flexible,FALSE,NYC,t,t,6,97,1,1
6181322,4.605170186,Apartment,3,1,Real Bed,strict,TRUE,NYC,t,t,1,100,1,1
19845637,4.442651256,Apartment,2,1,Real Bed,flexible,FALSE,NYC,t,f,16,93,1,1
15942310,4.59511985,Apartment,3,1,Real Bed,strict,TRUE,LA,t,t,47,92,1,2
4884601,3.80666249,House,3,0.5,Real Bed,moderate,TRUE,LA,t,t,63,97,1,2
7144212,4.828313737,Apartment,1,1,Real Bed,strict,TRUE,NYC,t,t,3,100,1,1
11190379,4.691347882,Apartment,6,1.5,Real Bed,strict,TRUE,LA,t,t,7,100,2,2
20568215,5.521460918,Apartment,4,2,Real Bed,flexible,TRUE,NYC,t,t,3,80,2,2
11473041,4.382026635,Apartment,2,1,Real Bed,flexible,TRUE,NYC,t,f,1,100,1,1
14698794,4.744932128,Apartment,6,1,Real Bed,strict,TRUE,LA,t,t,1,100,2,2
19981334,3.555348061,House,2,1,Real Bed,moderate,TRUE,LA,t,t,14,99,1,1
20034233,5.616771098,Apartment,6,1,Real Bed,moderate,TRUE,SF,t,t,186,97,2,4
7483034,5.272999559,House,5,2,Real Bed,strict,TRUE,LA,t,f,3,100,3,3
2664975,5.164785974,Apartment,2,1,Real Bed,moderate,FALSE,NYC,t,t,6,97,0,1
16131645,4.859812404,Apartment,4,1,Real Bed,strict,TRUE,NYC,t,f,15,87,1,1
13766593,4.59511985,Apartment,2,1,Real Bed,flexible,TRUE,NYC,t,t,2,100,1,1
14964764,4.49980967,Apartment,1,1,Futon,strict,TRUE,NYC,t,t,34,94,1,1
20054400,5.164785974,Apartment,3,1,Real Bed,flexible,TRUE,NYC,t,t,11,94,1,2
2754149,4.584967479,House,2,1,Real Bed,strict,TRUE,LA,t,t,36,96,1,1
11760628,4.59511985,Apartment,3,1,Pull-out Sofa,flexible,FALSE,NYC,t,t,27,87,1,1
8642982,4.86753445,House,6,1.5,Real Bed,moderate,FALSE,NYC,t,t,2,90,3,3
19506327,4.189654742,House,2,1,Real Bed,moderate,TRUE,LA,t,f,2,60,1,1
14783267,4.787491743,Apartment,2,1,Real Bed,strict,TRUE,NYC,t,t,9,93,1,1
1048797,4.317488114,Apartment,2,1,Real Bed,moderate,TRUE,NYC,t,t,167,89,1,1
7771546,4.605170186,Apartment,2,1,Real Bed,flexible,TRUE,LA,t,t,12,98,1,1
19737908,5.087596335,Apartment,4,1,Real Bed,flexible,TRUE,LA,t,t,3,93,0,1
17330389,5.991464547,Apartment,8,3,Real Bed,strict,TRUE,LA,t,t,0,,3,4
982304,6.261491684,Apartment,5,1,Real Bed,flexible,TRUE,Boston,t,t,0,,2,2
624248,4.382026635,Apartment,2,1,Real Bed,flexible,TRUE,NYC,t,t,9,100,1,1
13616847,5.978885765,House,6,3,Real Bed,strict,TRUE,SF,t,t,48,99,3,3
13654448,4.828313737,House,2,1,Real Bed,moderate,TRUE,SF,t,t,102,95,1,1
19474011,3.610917913,Apartment,3,1,Real Bed,strict,TRUE,NYC,t,t,0,,1,2
4258491,5.010635294,Apartment,2,1,Real Bed,moderate,FALSE,NYC,t,f,3,100,1,1
4879306,4.127134385,Apartment,2,1.5,Real Bed,moderate,TRUE,NYC,t,f,2,100,1,1
1550146,5.010635294,House,4,1,Real Bed,moderate,TRUE,LA,t,t,8,93,2,2
12952172,4.634728988,House,6,1.5,Real Bed,moderate,FALSE,NYC,t,f,0,,3,4
5940622,5.220355825,House,4,1.5,Real Bed,moderate,TRUE,DC,t,f,4,100,2,2
21024236,5.963579344,Apartment,5,2,Real Bed,moderate,TRUE,Boston,t,t,3,100,2,3
9786021,3.912023005,Apartment,2,2,Real Bed,strict,FALSE,LA,t,t,23,93,1,1
15300708,5.272999559,Apartment,2,1,Real Bed,moderate,TRUE,SF,t,t,2,100,1,1
10175033,4.248495242,Apartment,2,1,Real Bed,strict,TRUE,NYC,t,f,9,91,1,1
15806332,4.828313737,Apartment,2,1,Real Bed,strict,FALSE,NYC,t,t,0,,1,1
2134400,4.406719247,Apartment,2,1,Real Bed,strict,TRUE,LA,t,t,51,93,0,2
11927300,4.49980967,Apartment,2,1,Real Bed,moderate,FALSE,NYC,t,f,43,92,0,1
16431249,4.442651256,Apartment,1,1,Real Bed,strict,TRUE,NYC,t,t,2,100,1,1
12265833,5.298317367,Apartment,2,1,Real Bed,moderate,TRUE,NYC,t,f,1,100,1,1
11047668,4.17438727,House,4,1,Real Bed,flexible,TRUE,LA,t,f,0,,1,2
4645486,6.131226489,House,6,2.5,Real Bed,moderate,TRUE,LA,t,t,2,100,3,3
12757706,5.953243334,House,6,2.5,Real Bed,strict,TRUE,SF,t,f,0,,3,4
14559074,5.783825182,Apartment,8,2,Real Bed,strict,TRUE,NYC,t,t,8,80,1,2
20706278,3.36729583,House,1,1.5,Real Bed,flexible,FALSE,LA,t,f,4,90,1,1
18196542,3.688879454,Apartment,2,1,Real Bed,flexible,TRUE,NYC,t,t,1,80,1,1
17712350,4.382026635,Apartment,2,2,Real Bed,moderate,TRUE,Boston,t,t,31,97,1,1
11659296,4.094344562,Apartment,2,2,Real Bed,strict,TRUE,NYC,t,t,9,93,1,1
13018127,5.135798437,Apartment,2,2,Real Bed,flexible,TRUE,NYC,t,t,1,100,1,1
18687283,4.828313737,House,4,1,Real Bed,moderate,TRUE,LA,t,t,67,98,1,4
5885130,4.65396035,Apartment,2,1,Real Bed,strict,TRUE,NYC,t,f,0,,1,1
8986585,5.953243334,Apartment,6,2,Real Bed,flexible,TRUE,NYC,t,f,0,,3,4
18265842,5.164785974,Apartment,2,1,Real Bed,flexible,FALSE,NYC,t,t,2,100,0,1
7773967,4.17438727,Apartment,2,1,Real Bed,strict,TRUE,LA,t,t,31,95,1,1
13795421,4.553876892,House,2,1,Real Bed,flexible,FALSE,LA,t,t,2,100,1,1
7955984,5.379897354,Apartment,4,1,Real Bed,moderate,TRUE,DC,t,f,13,97,1,2
18125983,5.521460918,House,2,1,Real Bed,strict,TRUE,LA,t,t,36,99,1,1
20590180,5.686975356,Apartment,4,2,Real Bed,moderate,TRUE,NYC,t,f,28,99,2,3
515260,4.007333185,Apartment,1,1,Real Bed,moderate,TRUE,NYC,t,t,6,100,1,1
15146022,5.991464547,House,10,3,Real Bed,strict,TRUE,LA,t,t,3,93,4,5
455801,4.418840608,Apartment,4,1,Real Bed,moderate,TRUE,LA,t,t,126,91,1,2
1887489,3.828641396,Apartment,2,1,Real Bed,flexible,FALSE,LA,t,t,1,20,1,1
3167974,3.761200116,Apartment,1,1,Real Bed,strict,FALSE,NYC,t,t,81,91,1,1
16630498,5.666426688,Apartment,4,2,Real Bed,strict,TRUE,LA,t,t,26,98,2,2
2175930,5.616771098,Apartment,4,1,Real Bed,moderate,TRUE,NYC,t,t,5,96,1,2
16412763,5.164785974,Apartment,3,1,Real Bed,strict,TRUE,Chicago,t,t,1,100,1,1
2259719,3.912023005,Apartment,2,1,Real Bed,flexible,FALSE,LA,t,t,7,87,1,1
20667572,6.214608098,Apartment,2,1,Real Bed,strict,FALSE,NYC,t,t,0,,1,1
17847644,4.077537444,Apartment,2,1,Real Bed,moderate,TRUE,NYC,t,f,5,76,1,1
18923450,5.288267031,Apartment,2,1,Real Bed,strict,TRUE,SF,t,t,138,95,1,1
15448688,5.164785974,Apartment,1,1,Real Bed,flexible,FALSE,LA,t,f,0,,1,1
15203727,3.737669618,House,2,1,Real Bed,strict,TRUE,LA,t,t,58,89,1,1
1654170,4.317488114,House,2,1,Real Bed,strict,TRUE,LA,t,t,73,98,1,1
15636707,5.883322388,Apartment,2,1,Real Bed,moderate,TRUE,Chicago,t,t,1,80,0,1
15982486,4.382026635,Apartment,2,1,Real Bed,strict,TRUE,Boston,t,t,1,100,1,1
17462133,5.003946306,Apartment,4,1,Real Bed,strict,TRUE,SF,t,t,72,93,1,2
18078627,4.927253685,House,4,1,Real Bed,strict,TRUE,LA,t,f,38,94,1,3
19242128,4.382026635,Apartment,2,1,Real Bed,strict,TRUE,LA,t,t,21,94,1,1
19247246,4.48863637,House,2,1,Real Bed,strict,FALSE,NYC,t,f,22,95,1,1
16243308,3.871201011,House,3,1,Real Bed,flexible,FALSE,LA,t,t,68,92,1,2
20137770,4.779123493,Apartment,2,1,Futon,moderate,FALSE,NYC,t,t,44,91,0,1
3219171,4.521788577,House,10,4.5,Real Bed,flexible,TRUE,LA,t,f,0,,5,5
19193758,4.59511985,Apartment,2,1,Real Bed,strict,TRUE,NYC,t,t,2,90,0,2
16368734,6.907755279,House,4,2,Real Bed,strict,FALSE,DC,t,f,0,,2,2
13309996,5.220355825,House,2,5,Real Bed,strict,FALSE,LA,t,f,0,,1,5
443646,4.787491743,Apartment,2,1,Real Bed,flexible,FALSE,SF,t,t,1,100,1,1
3384323,4.934473933,Apartment,2,1,Real Bed,flexible,TRUE,LA,t,t,0,,0,1
13811836,5.33753808,Apartment,5,1,Real Bed,strict,TRUE,LA,t,t,4,100,1,3
5250051,5.192956851,House,2,1,Real Bed,moderate,TRUE,LA,t,t,15,96,1,1
9571665,4.828313737,House,2,1,Real Bed,strict,FALSE,LA,t,t,3,100,1,1
14199379,3.912023005,Loft,1,2,Real Bed,strict,FALSE,LA,t,t,40,96,1,1
20208787,5.187385806,Townhouse,6,2.5,Real Bed,strict,TRUE,DC,t,f,7,100,3,3
9150171,5.521460918,Apartment,2,1,Real Bed,moderate,TRUE,NYC,t,t,1,80,1,1
18347483,3.951243719,Apartment,2,1,Real Bed,strict,FALSE,Boston,t,t,8,93,1,1
14575109,5.220355825,Apartment,2,1,Real Bed,moderate,TRUE,NYC,t,t,10,96,0,1
8532763,4.477336814,Apartment,2,1,Real Bed,strict,TRUE,LA,t,t,2,100,0,1
9550807,7.003065459,Apartment,4,1,Real Bed,strict,FALSE,NYC,t,t,9,100,1,2
21188095,5.521460918,House,5,2,Real Bed,moderate,TRUE,SF,t,t,8,100,3,3
15805642,4.828313737,Apartment,2,1,Real Bed,strict,TRUE,DC,t,t,107,96,1,1
20757371,4.17438727,Apartment,2,1,Real Bed,strict,TRUE,NYC,t,t,17,92,1,1
10517632,4.634728988,House,4,1,Real Bed,strict,TRUE,LA,t,t,12,97,1,2
18108134,4.442651256,Apartment,2,1.5,Real Bed,flexible,TRUE,NYC,t,f,1,80,1,2
11121225,4.905274778,Apartment,4,1,Real Bed,strict,TRUE,SF,t,t,5,92,1,2
20203225,4.905274778,Apartment,3,1,Real Bed,moderate,FALSE,NYC,t,f,14,97,1,1
9685324,4.17438727,Apartment,2,1,Real Bed,strict,TRUE,LA,t,t,18,98,0,1
7004468,4.094344562,Apartment,4,1,Real Bed,flexible,FALSE,NYC,t,t,0,,1,2
9794825,5.010635294,Apartment,4,1,Real Bed,flexible,TRUE,NYC,t,f,2,90,2,2
5050799,4.369447852,Apartment,2,1,Real Bed,strict,TRUE,Boston,t,f,25,90,0,1
1425347,4.828313737,Apartment,4,1,Real Bed,moderate,TRUE,NYC,t,t,28,89,1,3
1720583,5.736572297,Apartment,16,2,Real Bed,strict,FALSE,LA,t,t,7,87,2,3
17478124,5.043425117,Apartment,2,1,Real Bed,moderate,TRUE,LA,t,t,3,100,0,1
