universe,asset_id,code,ticker,company_name,sector,index_weight_pct,constituent_vintage,source_url,source_note,price_source_note
Hang Seng Index,24,960,0960.HK,LONGFOR GROUP,Properties,0.3,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,25,12,0012.HK,HENDERSON LAND,Properties,0.27,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,26,17,0017.HK,NEW WORLD DEV,Properties,0.21,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,27,1209,1209.HK,CHINA RES MIXC,Properties,0.21,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,28,101,0101.HK,HANG LUNG PPT,Properties,0.16,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,29,6098,6098.HK,CG SERVICES,Properties,0.14,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,30,2007,2007.HK,COUNTRY GARDEN,Properties,0.09,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,31,700,0700.HK,TENCENT,Commerce & Industry,8.43,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,32,9988,9988.HK,BABA - SW,Commerce & Industry,9.1,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,33,3690,3690.HK,MEITUAN - W,Commerce & Industry,6.51,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,34,941,0941.HK,CHINA MOBILE,Commerce & Industry,3.52,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,35,9618,9618.HK,JD - SW,Commerce & Industry,2.14,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,36,1211,1211.HK,BYD COMPANY,Commerce & Industry,1.99,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,37,1810,1810.HK,XIAOMI - W,Commerce & Industry,1.8,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,38,883,0883.HK,CNOOC,Commerce & Industry,1.72,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,39,2269,2269.HK,WUXI BIO,Commerce & Industry,1.39,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,40,669,0669.HK,TECHTRONIC IND,Commerce & Industry,1.11,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,41,857,0857.HK,PETROCHINA,Commerce & Industry,1.04,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,42,27,0027.HK,GALAXY ENT,Commerce & Industry,1.01,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,43,2020,2020.HK,ANTA SPORTS,Commerce & Industry,0.95,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,44,1,0001.HK,CKH HOLDINGS,Commerce & Industry,0.99,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,45,9999,9999.HK,NTES - S,Commerce & Industry,0.98,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,46,386,0386.HK,SINOPEC CORP,Commerce & Industry,0.93,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
