student_id,age,programme_level,nationality_group,boarding_status,attendance_rate,assessment_completion_rate,current_grade,lms_engagement_score,wellbeing_flag,safeguarding_flag,intervention_count,guardian_contact_complete,record_completeness_score,access_review_overdue_flag,academic_risk_level
STU000052,18,Foundation,International,Homestay,0.787,0.674,56.7,0.493,True,False,1,True,0.766,False,High
STU000053,19,EAP,EU,Boarding,0.919,0.786,88.3,0.79,False,False,0,False,0.565,False,Low
STU000054,18,Foundation,UK,Homestay,0.922,0.868,98.2,0.823,True,False,0,True,0.953,False,Low
STU000055,17,A-Level,International,Day,0.837,0.652,73.4,0.526,False,False,1,True,0.709,False,High
STU000056,18,EAP,International,Boarding,0.758,0.814,75.5,0.763,False,False,2,True,0.874,False,Medium
STU000057,15,GCSE,UK,Homestay,0.852,0.719,85.9,0.867,False,False,0,True,0.924,False,Low
STU000058,16,GCSE,UK,Day,0.967,0.741,81.6,0.709,False,False,0,True,0.814,True,Low
STU000059,15,GCSE,International,Boarding,0.833,0.676,62.6,0.586,False,False,1,True,0.879,False,High
STU000060,17,A-Level,International,Homestay,0.867,0.779,71.1,0.733,False,False,2,True,0.711,False,Medium
STU000061,17,A-Level,UK,Boarding,0.845,0.73,73.9,0.793,False,False,1,True,0.87,False,Medium
STU000062,16,A-Level,EU,Day,0.887,0.703,78.2,0.682,False,False,0,True,0.841,False,Medium
STU000063,18,Foundation,International,Boarding,0.77,0.758,78.0,0.786,True,False,2,True,1.0,False,Medium
STU000064,16,A-Level,International,Day,0.796,0.83,75.9,0.765,False,False,3,True,0.88,True,Medium
STU000065,16,A-Level,International,Homestay,0.869,0.808,90.3,0.949,False,False,1,True,0.778,False,Low
STU000066,17,A-Level,UK,Day,0.881,0.607,80.1,0.545,False,False,3,True,0.877,True,Medium
STU000067,15,GCSE,UK,Day,0.978,0.788,77.8,0.601,False,False,5,True,0.845,False,Medium
STU000068,19,Foundation,International,Day,0.905,0.839,71.2,0.737,False,False,1,True,0.888,False,Low
STU000069,15,GCSE,UK,Boarding,0.818,0.599,73.2,0.537,False,False,3,False,0.695,False,High
STU000070,19,EAP,EU,Homestay,0.849,1.0,100.0,0.971,False,False,1,True,0.802,True,Low
STU000071,19,Foundation,UK,Day,0.95,0.791,79.4,0.835,False,False,0,True,0.873,False,Low
STU000072,16,GCSE,UK,Day,0.87,0.743,88.1,0.682,False,False,0,True,0.813,True,Medium
STU000073,15,GCSE,EU,Day,0.823,0.805,76.6,0.887,False,False,1,True,0.996,False,Low
STU000074,18,Foundation,International,Homestay,0.906,0.772,79.6,0.823,False,False,0,False,0.523,True,Medium
STU000075,19,Foundation,International,Day,0.845,0.919,90.6,0.735,False,False,1,True,0.857,False,Low
STU000076,18,Foundation,EU,Day,0.933,0.728,76.1,0.706,False,False,1,True,0.744,False,Medium
STU000077,18,Foundation,UK,Boarding,0.925,1.0,79.1,0.863,False,False,1,True,0.811,False,Low
STU000078,15,GCSE,UK,Day,0.82,0.749,81.5,0.762,False,False,2,True,0.769,False,Medium
STU000079,16,A-Level,International,Day,0.962,0.787,69.1,0.821,True,False,1,True,0.814,False,Medium
STU000080,16,GCSE,UK,Day,0.891,0.78,87.1,0.828,False,False,0,True,0.745,False,Low
STU000081,18,Foundation,International,Homestay,0.714,0.826,83.8,0.875,False,False,1,True,0.832,False,Medium
STU000082,17,A-Level,EU,Homestay,0.927,0.943,93.8,0.668,False,False,0,True,0.813,False,Low
STU000083,17,A-Level,UK,Boarding,0.718,0.755,71.3,0.942,False,False,0,True,0.825,True,Medium
STU000084,15,GCSE,International,Day,0.973,0.907,83.1,0.984,False,False,1,True,0.924,False,Low
STU000085,16,A-Level,UK,Boarding,0.904,1.0,89.9,0.963,False,False,0,True,0.805,False,Low
STU000086,17,A-Level,EU,Day,0.89,0.701,73.4,0.726,False,False,2,True,0.877,False,Medium
STU000087,18,Foundation,UK,Boarding,0.894,0.718,65.1,0.697,False,False,1,True,1.0,False,Medium
STU000088,17,A-Level,UK,Boarding,0.88,0.864,74.9,0.714,True,False,0,True,0.722,False,Medium
STU000089,19,Foundation,EU,Homestay,0.86,0.841,81.5,0.801,False,False,0,True,0.884,False,Low
STU000090,16,A-Level,EU,Day,0.893,0.775,84.5,0.855,False,False,0,True,0.75,False,Low
STU000091,14,GCSE,International,Boarding,0.902,0.842,82.2,0.716,False,False,2,True,0.881,False,Low
STU000092,17,Foundation,International,Boarding,0.692,0.609,68.6,0.802,False,False,2,True,0.689,False,High
STU000093,18,Foundation,International,Day,0.936,0.912,95.4,0.759,False,False,0,False,0.728,True,Low
STU000094,18,A-Level,UK,Boarding,0.947,0.682,75.8,0.782,False,False,0,True,0.954,False,Medium
STU000095,19,Foundation,International,Homestay,0.859,0.692,68.1,0.828,True,False,2,True,0.804,True,Medium
STU000096,17,A-Level,EU,Homestay,0.921,0.856,81.3,0.779,False,False,2,True,0.818,False,Low
STU000097,17,A-Level,UK,Boarding,1.0,0.737,84.0,0.719,False,False,2,False,0.728,False,Low
STU000098,17,A-Level,EU,Day,0.812,0.676,64.5,0.582,True,False,3,True,0.58,False,High
STU000099,14,GCSE,International,Homestay,0.893,0.891,88.3,0.86,False,False,1,True,0.895,False,Low
STU000100,14,GCSE,UK,Boarding,0.848,0.731,80.8,0.771,False,False,5,True,0.801,False,Medium
STU000101,16,GCSE,International,Day,0.76,0.768,72.6,0.839,False,False,0,True,0.937,True,Medium
STU000102,17,A-Level,UK,Day,0.926,0.945,84.5,0.904,False,False,0,True,0.851,False,Low
STU000103,18,A-Level,UK,Day,0.856,0.802,91.2,0.701,False,False,0,True,0.708,False,Medium
STU000104,17,A-Level,UK,Day,0.759,0.888,81.1,0.812,False,False,2,True,0.816,False,Low
STU000105,18,EAP,International,Boarding,0.889,0.77,62.3,0.842,False,False,1,True,0.694,True,Medium
STU000106,14,GCSE,UK,Day,0.887,0.706,71.1,0.715,False,False,0,True,0.902,False,Medium
STU000107,17,A-Level,International,Day,0.878,1.0,94.2,1.0,False,False,2,True,0.77,True,Low
STU000108,18,Foundation,International,Day,0.904,0.937,88.4,1.0,False,False,1,True,0.91,False,Low
STU000109,15,GCSE,International,Day,0.785,0.737,75.4,0.761,False,False,0,False,0.594,True,Medium
STU000110,14,GCSE,EU,Day,0.964,0.751,83.5,0.662,False,False,1,True,0.869,True,Low
STU000111,17,A-Level,International,Day,0.924,0.865,76.2,0.709,False,False,0,True,0.857,False,Low
STU000112,14,GCSE,International,Day,0.908,0.714,71.9,0.648,True,False,0,True,0.908,False,Medium
STU000113,18,EAP,EU,Boarding,0.855,0.9,83.0,0.883,False,False,0,True,0.764,False,Low
STU000114,18,Foundation,International,Day,0.924,0.954,88.5,0.842,False,False,0,True,0.886,False,Low
STU000115,16,A-Level,EU,Boarding,0.763,0.714,69.8,0.656,False,False,1,True,0.777,False,Medium
STU000116,17,Foundation,EU,Day,0.836,0.767,79.6,1.0,False,False,0,True,0.922,True,Low
STU000117,17,Foundation,UK,Day,0.798,0.78,78.9,0.688,False,False,1,True,0.956,False,Medium
STU000118,15,GCSE,EU,Day,0.912,0.985,83.2,0.964,False,False,0,True,0.786,False,Low
STU000119,17,Foundation,UK,Day,0.78,0.859,72.9,0.839,True,False,2,True,0.769,False,Medium
STU000120,17,A-Level,UK,Day,0.863,0.828,92.3,0.816,False,False,0,True,0.718,False,Low
STU000121,17,Foundation,International,Day,0.894,0.64,77.6,0.689,False,False,0,True,0.6,False,Medium
STU000122,18,Foundation,International,Day,0.755,0.704,72.5,0.872,True,True,4,True,0.843,False,High
STU000123,18,A-Level,International,Boarding,0.802,0.8,81.5,0.948,False,False,0,True,0.942,True,Low
STU000124,15,GCSE,EU,Day,1.0,0.942,88.8,0.808,False,False,0,True,0.825,False,Low
STU000125,14,GCSE,International,Homestay,0.902,0.893,79.6,0.886,False,False,2,True,0.759,False,Low
STU000126,18,A-Level,UK,Homestay,0.974,0.87,83.8,0.777,True,False,1,True,0.773,False,Low
STU000127,18,Foundation,International,Boarding,0.746,0.698,71.6,0.843,True,False,3,True,0.774,False,High
STU000128,19,Foundation,UK,Day,0.868,0.77,82.5,0.657,False,False,1,True,0.911,False,Medium
STU000129,15,GCSE,UK,Homestay,0.9,0.663,75.9,0.854,False,False,6,True,0.678,False,Medium
STU000130,17,A-Level,International,Day,1.0,0.716,75.3,0.498,False,False,2,False,0.708,False,Medium
STU000131,18,A-Level,UK,Day,1.0,0.695,96.4,0.66,False,False,0,True,0.775,False,Low
STU000132,14,GCSE,UK,Day,0.864,0.864,78.4,0.591,False,False,0,True,0.765,False,Medium
STU000133,15,GCSE,International,Homestay,0.843,0.801,72.1,0.711,False,False,1,True,0.912,False,Medium
STU000134,17,A-Level,UK,Day,0.894,0.795,81.5,0.646,False,False,1,True,0.922,False,Medium
STU000135,16,EAP,UK,Homestay,0.978,0.736,80.9,0.735,False,False,1,True,0.824,False,Low
STU000136,16,A-Level,UK,Day,0.904,0.79,73.4,0.735,False,False,1,False,0.742,False,Medium
STU000137,16,A-Level,UK,Homestay,0.916,0.864,85.2,0.747,False,False,1,True,0.748,False,Low
STU000138,18,Foundation,UK,Homestay,0.977,0.743,86.1,0.681,False,False,1,True,0.884,False,Low
STU000139,17,A-Level,International,Homestay,0.928,0.657,65.4,0.553,True,False,4,True,0.945,False,High
STU000140,18,EAP,UK,Day,0.969,0.918,93.8,0.734,False,False,0,True,0.935,False,Low
STU000141,16,EAP,International,Homestay,0.944,0.817,80.6,0.945,False,False,2,True,0.813,False,Low
STU000142,17,A-Level,UK,Homestay,0.995,0.913,84.5,1.0,False,False,0,True,0.694,False,Low
STU000143,18,A-Level,EU,Day,0.815,0.758,80.1,0.892,False,False,1,True,0.868,False,Low
STU000144,17,A-Level,International,Day,1.0,0.822,83.2,0.71,True,False,1,True,0.805,True,Low
STU000145,17,A-Level,International,Boarding,0.914,0.857,85.8,0.783,True,False,1,True,0.779,False,Low
STU000146,16,GCSE,International,Day,0.889,0.92,85.2,0.73,False,False,0,True,0.886,False,Low
STU000147,17,A-Level,International,Boarding,0.978,0.881,76.8,0.773,False,False,1,True,0.843,False,Low
STU000148,17,A-Level,UK,Day,0.876,0.897,76.2,0.757,False,False,1,True,0.769,False,Low
STU000149,16,GCSE,EU,Boarding,0.933,0.863,81.0,0.783,False,False,1,True,0.889,False,Low
STU000150,17,A-Level,International,Day,0.902,0.615,70.3,0.546,False,True,2,True,0.747,False,High
STU000151,19,EAP,UK,Day,0.932,0.82,74.4,0.745,False,True,2,True,0.749,False,Medium
STU000152,14,GCSE,UK,Day,0.797,0.693,76.4,0.631,True,False,2,True,0.696,False,High
STU000153,15,GCSE,UK,Homestay,0.962,1.0,100.0,1.0,False,False,0,True,0.78,False,Low
STU000154,16,A-Level,International,Day,0.869,0.811,74.2,0.818,False,False,1,True,0.814,True,Low
STU000155,18,EAP,UK,Homestay,0.896,0.848,79.4,0.936,False,True,1,True,0.664,False,Medium
STU000156,15,GCSE,UK,Boarding,0.899,0.725,81.3,0.721,False,False,2,True,0.856,False,Medium
STU000157,16,A-Level,EU,Day,0.772,0.775,84.1,0.87,False,False,0,True,0.99,False,Low
STU000158,18,Foundation,International,Day,0.848,0.793,80.9,0.796,False,False,1,True,0.707,False,Medium
STU000159,16,GCSE,UK,Day,0.959,0.924,86.4,0.861,False,False,0,False,0.543,False,Low
STU000160,19,Foundation,UK,Day,0.838,0.723,62.5,0.778,False,True,1,True,0.86,False,High
STU000161,17,A-Level,International,Day,0.985,1.0,87.3,0.859,False,False,0,True,0.88,False,Low
STU000162,17,A-Level,International,Boarding,0.815,0.658,76.3,0.66,False,False,2,True,0.693,False,Medium
STU000163,17,A-Level,International,Homestay,0.949,0.823,95.8,0.996,False,False,1,True,0.68,False,Low
STU000164,17,A-Level,International,Day,0.897,0.823,71.8,0.696,False,False,0,True,0.997,False,Medium
STU000165,16,GCSE,UK,Boarding,0.883,0.64,81.1,0.613,False,False,0,True,0.856,False,Medium
STU000166,17,Foundation,UK,Homestay,0.818,0.777,84.6,0.767,False,False,1,False,0.659,False,Medium
STU000167,17,A-Level,EU,Homestay,0.915,0.851,87.5,0.986,False,False,1,True,0.792,False,Low
STU000168,15,GCSE,International,Homestay,0.829,0.774,69.6,0.621,False,False,1,True,0.788,False,Medium
STU000169,15,GCSE,EU,Homestay,0.855,0.775,86.9,0.693,False,False,0,False,0.737,True,Medium
STU000170,17,A-Level,International,Day,0.843,0.813,75.6,0.714,True,False,1,True,0.684,False,Medium
STU000171,17,A-Level,International,Homestay,0.808,0.64,69.4,0.501,True,False,4,True,0.759,False,High
STU000172,14,GCSE,UK,Homestay,0.972,0.782,72.9,0.602,False,False,0,True,0.928,False,Medium
STU000173,17,A-Level,UK,Day,0.675,0.681,56.5,0.764,True,False,4,False,0.537,False,High
STU000174,14,GCSE,UK,Day,0.888,0.717,81.7,0.738,False,False,1,True,0.864,True,Medium
STU000175,16,A-Level,UK,Day,0.875,0.684,76.2,0.616,False,False,0,True,0.819,False,Medium
STU000176,14,GCSE,UK,Day,0.899,0.801,82.3,0.697,False,False,1,False,0.976,False,Low
STU000177,17,A-Level,International,Day,0.862,0.804,70.2,0.671,False,False,1,True,0.824,False,Medium
STU000178,17,A-Level,UK,Boarding,0.972,0.827,88.8,0.788,False,False,1,True,0.975,True,Low
STU000179,18,EAP,UK,Boarding,0.882,0.808,86.1,0.82,False,False,1,True,0.878,True,Low
STU000180,15,GCSE,UK,Day,0.909,0.67,88.9,0.481,False,False,1,True,0.78,False,Medium
STU000181,17,A-Level,International,Day,0.962,0.94,87.4,0.943,False,False,0,True,0.8,False,Low
STU000182,15,GCSE,International,Boarding,0.904,0.805,68.2,0.745,False,False,1,True,0.878,False,Medium
STU000183,17,EAP,International,Day,0.752,0.676,62.8,0.605,True,False,2,True,0.874,False,High
STU000184,18,Foundation,International,Day,0.87,0.793,78.6,0.878,False,False,1,True,0.938,False,Low
STU000185,17,A-Level,EU,Boarding,0.891,0.748,76.8,0.627,False,False,0,True,0.841,False,Medium
STU000186,17,A-Level,UK,Day,0.785,0.84,81.5,0.665,False,False,1,True,0.874,False,Medium
STU000187,19,Foundation,UK,Day,0.85,0.892,75.3,0.617,False,False,0,True,1.0,True,Medium
STU000188,18,A-Level,UK,Day,0.895,0.821,89.6,0.842,False,False,0,True,0.804,False,Low
STU000189,16,A-Level,International,Boarding,1.0,1.0,92.0,0.943,False,False,0,True,0.871,False,Low
STU000190,14,GCSE,UK,Boarding,0.926,0.935,70.6,0.793,False,False,2,True,0.955,False,Low
STU000191,15,GCSE,UK,Day,0.911,0.862,81.2,0.717,False,False,0,True,0.905,False,Low
STU000192,18,Foundation,International,Day,1.0,0.679,73.2,0.677,False,False,1,True,0.793,False,Medium
STU000193,16,EAP,International,Boarding,0.941,0.717,79.8,0.769,False,False,0,True,0.801,False,Low
STU000194,18,A-Level,International,Homestay,0.951,0.81,89.9,0.806,False,False,0,True,0.871,False,Low
STU000195,16,A-Level,UK,Boarding,0.872,0.722,67.3,0.673,False,False,0,True,0.849,False,Medium
STU000196,18,A-Level,International,Homestay,0.781,0.637,64.9,0.647,False,True,2,True,0.853,False,High
STU000197,18,Foundation,EU,Boarding,0.798,0.689,72.4,0.573,True,True,5,True,0.771,False,High
STU000198,19,Foundation,UK,Boarding,1.0,0.895,82.5,0.741,False,False,1,True,0.855,False,Low
STU000199,18,Foundation,International,Homestay,1.0,0.955,81.0,0.654,False,False,1,True,0.897,True,Low
STU000200,18,Foundation,International,Boarding,0.906,0.752,89.5,0.801,True,False,1,True,0.884,False,Medium
STU000201,17,A-Level,UK,Homestay,0.806,0.698,74.4,0.719,False,True,3,True,0.816,False,High
STU000202,14,GCSE,UK,Day,0.791,0.75,84.8,0.697,False,False,1,True,0.853,True,Medium
STU000203,15,GCSE,EU,Homestay,0.842,0.642,67.6,0.666,False,False,1,True,0.686,False,High
STU000204,18,Foundation,UK,Boarding,0.915,0.95,81.4,0.721,False,False,0,True,0.727,True,Low
STU000205,16,A-Level,International,Homestay,0.867,0.743,69.7,0.704,False,False,1,True,0.782,False,Medium
STU000206,14,GCSE,UK,Day,0.893,0.722,74.0,0.625,True,False,1,True,1.0,False,Medium
STU000207,16,GCSE,International,Boarding,0.731,0.659,62.0,0.622,True,False,2,True,0.649,True,High
STU000208,16,A-Level,International,Homestay,0.891,0.877,79.8,0.971,False,False,2,False,0.839,False,Low
STU000209,14,GCSE,EU,Day,0.846,0.734,76.5,0.688,False,False,1,True,0.852,False,Medium
STU000210,15,GCSE,UK,Boarding,0.969,1.0,89.1,0.695,False,False,0,True,0.961,False,Low
STU000211,18,A-Level,UK,Homestay,0.938,0.826,81.1,0.742,False,False,1,True,0.919,False,Low
STU000212,17,A-Level,UK,Day,0.842,0.785,77.5,0.67,False,False,1,True,0.913,True,Medium
STU000213,16,A-Level,UK,Day,0.96,0.781,91.3,0.722,False,False,0,True,0.89,False,Low
STU000214,15,GCSE,UK,Boarding,0.786,0.749,80.4,0.614,False,False,0,True,0.637,True,Medium
STU000215,19,Foundation,International,Boarding,0.775,0.776,76.9,0.811,False,False,1,True,0.957,False,Medium
STU000216,16,GCSE,UK,Day,0.838,0.812,83.9,0.788,False,False,1,True,0.812,True,Low
STU000217,17,A-Level,International,Day,0.761,0.801,83.5,0.801,False,False,0,True,1.0,True,Medium
STU000218,18,Foundation,UK,Day,0.892,0.938,89.2,0.915,False,False,1,True,0.907,False,Low
STU000219,17,A-Level,International,Day,0.894,0.842,75.1,0.709,False,False,1,True,0.657,False,Medium
STU000220,17,Foundation,International,Day,0.872,0.724,61.1,0.584,False,False,3,True,0.785,True,Medium
STU000221,17,A-Level,UK,Boarding,0.86,0.832,94.1,0.947,True,False,3,True,0.651,False,Low
STU000222,17,A-Level,International,Boarding,0.849,0.578,67.1,0.461,False,False,1,True,0.677,False,High
STU000223,16,GCSE,International,Boarding,0.809,0.711,76.7,0.653,False,False,1,True,0.884,False,Medium
STU000224,17,A-Level,International,Day,0.844,0.712,66.4,0.559,False,False,1,True,0.96,False,Medium
STU000225,16,A-Level,International,Day,0.815,0.846,77.9,0.765,False,False,1,True,0.911,False,Medium
STU000226,15,GCSE,UK,Day,0.795,0.436,54.1,0.547,True,False,4,True,0.67,False,High
STU000227,18,EAP,UK,Homestay,0.942,0.932,81.8,0.96,False,False,0,True,0.957,False,Low
STU000228,17,A-Level,UK,Boarding,0.721,0.586,65.5,0.677,True,False,2,True,0.841,False,High
STU000229,17,Foundation,EU,Homestay,0.876,0.939,89.6,0.956,False,False,0,True,1.0,False,Low
STU000230,17,A-Level,International,Day,0.9,0.887,78.5,0.743,True,False,3,True,0.854,False,Medium
STU000231,18,Foundation,International,Boarding,0.975,0.918,89.9,0.958,False,False,2,True,0.737,False,Low
STU000232,17,A-Level,UK,Boarding,0.821,0.767,72.8,0.534,True,False,1,True,0.855,False,High
STU000233,18,A-Level,International,Homestay,0.995,0.939,66.6,0.874,True,False,0,True,0.809,True,Low
STU000234,17,A-Level,International,Boarding,0.826,0.765,81.9,0.706,False,False,1,True,1.0,True,Medium
STU000235,16,GCSE,UK,Boarding,0.884,0.672,91.7,0.756,False,False,0,True,0.787,False,Low
STU000236,18,Foundation,UK,Day,0.818,0.843,70.9,0.859,False,False,4,True,0.774,True,Low
STU000237,17,A-Level,UK,Boarding,0.93,0.778,67.9,0.815,False,False,0,True,0.886,False,Medium
STU000238,15,GCSE,International,Day,1.0,0.595,63.4,0.685,False,False,1,True,0.68,False,Medium
STU000239,18,A-Level,International,Day,1.0,0.759,88.0,0.741,False,False,0,True,0.89,True,Low
STU000240,15,GCSE,UK,Day,0.959,0.893,74.0,0.635,False,False,0,True,0.801,False,Low
STU000241,18,EAP,UK,Homestay,0.857,0.845,83.8,0.872,False,False,1,True,0.871,False,Low
STU000242,17,EAP,International,Day,0.833,0.787,78.0,0.685,True,False,2,True,0.673,False,Medium
STU000243,18,EAP,International,Homestay,0.905,0.866,75.9,0.709,True,False,2,True,0.847,False,Medium
STU000244,17,A-Level,International,Homestay,0.952,0.872,81.1,0.803,False,False,0,True,0.899,False,Low
STU000245,15,GCSE,International,Homestay,0.906,0.745,75.5,0.709,False,False,0,True,0.884,False,Medium
STU000246,19,EAP,UK,Homestay,0.91,0.805,74.9,0.95,False,False,3,True,0.798,False,Low
STU000247,16,A-Level,EU,Homestay,0.974,0.886,92.5,0.882,False,False,1,True,0.802,False,Low
STU000248,18,EAP,UK,Day,0.991,0.848,94.7,0.933,False,False,1,True,0.79,False,Low
STU000249,19,EAP,International,Day,0.795,0.65,73.6,0.708,False,False,0,True,0.836,True,Medium
STU000250,17,Foundation,UK,Boarding,0.916,0.811,77.0,0.877,False,False,1,True,0.975,False,Low
STU000251,17,A-Level,International,Day,0.94,0.835,83.2,0.834,False,False,0,True,0.828,True,Low
STU000252,17,A-Level,UK,Day,0.863,0.706,72.0,0.592,False,False,1,True,0.96,False,Medium
STU000253,17,Foundation,International,Boarding,0.99,0.856,80.6,0.796,False,False,0,True,0.789,True,Low
STU000254,17,A-Level,UK,Boarding,0.88,0.82,79.8,0.725,False,False,1,True,0.948,False,Low
STU000255,16,GCSE,UK,Homestay,0.991,0.914,87.4,0.956,False,False,0,True,0.907,False,Low
STU000256,16,A-Level,International,Boarding,0.84,0.767,79.9,0.623,True,False,1,True,0.718,False,High
STU000257,18,EAP,UK,Boarding,0.918,0.919,79.8,0.871,False,False,0,True,0.895,False,Low
STU000258,17,A-Level,International,Day,0.917,0.96,86.7,0.919,False,False,1,True,0.83,True,Low
STU000259,18,A-Level,EU,Day,1.0,0.816,75.8,0.689,False,False,0,True,0.935,False,Low
STU000260,14,GCSE,EU,Homestay,0.952,0.746,80.1,0.792,False,False,1,False,0.77,True,Low
STU000261,17,A-Level,International,Day,0.868,0.865,87.2,0.984,False,False,2,True,0.834,True,Low
STU000262,18,EAP,International,Day,0.881,0.662,71.0,0.608,False,False,2,True,0.732,True,Medium
STU000263,15,GCSE,EU,Boarding,0.881,0.821,84.6,0.653,False,False,0,True,0.825,False,Low
STU000264,18,A-Level,International,Day,0.901,0.703,89.5,0.788,False,False,0,True,0.858,False,Low
STU000265,19,Foundation,UK,Day,0.834,0.822,57.0,0.799,False,False,0,True,0.893,False,Medium
STU000266,17,Foundation,UK,Day,0.894,0.839,88.2,0.801,False,False,0,True,0.883,False,Low
